adgroup_id,adgroup_name,campaign_name,campaign_type,model,cost,conv_amt,total_ad_profit,residual_v1,residual_v2,baseline_v1_daily,baseline_v2_used_fallback,n_days,n_baseline_days,band_total,band_baseline_only,baseline_unavailable,excess_F2,excess_F1b,excess_F1a,excess_연휴,excess_공휴일,excess_휴가창,excess_주말,excess_F3
grp-a001-01-000000060843107,S11울트라_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,갤럭시탭 S11 (+울트라),52889,74600,-9288.77,30081.46,24293.42,181.2136,True,166,76,band3,band1,False,0.0,0.0,0.0,-1354.85,-2691.5,-7198.49,-21019.9,-7105.49
grp-a001-01-000000060765094,S20울트라_사생활보호,○ 갤럭시 파워링크,WEB_SITE,,12684,47700,15194.43,30115.66,24891.81,196.8344,False,153,94,band1,band1,False,0.0,0.0,0.0,-1090.5,-2521.84,-2755.68,-8553.2,0.0
grp-a001-01-000000060612844,A16_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,갤럭시 A16 LTE,101005,173800,573.02,30240.39,11434.05,182.171,False,166,97,band2,band1,False,0.0,0.0,0.0,-728.68,1510.61,-6156.78,-24292.52,0.0
grp-a001-02-000000059811691,S25플러스,● 01. 갤럭시_지문방지_사생활,SHOPPING,갤럭시 S25 (+/울트라/FE),159794,367700,55109.57,30283.15,9046.26,156.0987,True,194,116,band1,band2,False,0.0,0.0,0.0,-4384.39,2985.02,-11293.07,37518.86,0.0
grp-a001-01-000000045692018,01. 갤럭시 Z폴드SE_지문방지필름,○ 02. 파워링크_MO,WEB_SITE,,28670,132120,48548.0,30759.01,26403.59,161.042,False,191,111,band1,band1,False,0.0,0.0,0.0,-955.21,-1435.21,14659.35,5520.05,0.0
grp-a001-02-000000059830552,14플러스,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,,84285,215700,41781.63,30990.83,57111.14,160.5742,True,193,115,band1,band1,False,0.0,0.0,0.0,-642.3,-5171.59,8414.92,8189.77,0.0
grp-a001-01-000000046971678,02.아이패드_미니7/6세대_6H BLC,○ 02. 파워링크_PC,WEB_SITE,아이패드 미니 6세대(8.3인치)|아이패드 미니 7세대(8.3인치),3410,61600,32592.34,31563.29,28182.48,177.3218,False,178,107,band1,band1,False,0.0,0.0,0.0,-709.29,-531.97,-4538.4,6808.71,0.0
grp-a001-02-000000063096531,TEST,벌크,SHOPPING,,1291,45700,25418.53,31701.28,39746.43,310.7968,False,102,56,band1,band1,False,0.0,0.0,0.0,0.0,-1553.98,2419.56,-7148.33,0.0
grp-a001-01-000000060763875,노트20_사생활보호,○ 갤럭시 파워링크,WEB_SITE,,93982,210700,29162.36,32165.15,24049.82,193.766,False,166,97,band1,band1,False,0.0,0.0,0.0,-2595.06,-2298.36,-12522.09,14412.72,0.0
grp-a001-01-000000060842565,미니6-7세대(8.3인치)_종이질감,○ P. 아이패드 파워링크,WEB_SITE,아이패드 미니 6세대(8.3인치)|아이패드 미니 7세대(8.3인치),71155,131100,5466.86,32462.55,29110.0,208.0933,False,156,97,band2,band1,False,0.0,0.0,0.0,-832.37,1829.16,-2289.03,-25703.45,0.0
grp-a001-01-000000060612109,S10E_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,,28729,95400,27027.87,32534.33,59552.65,197.1778,False,165,97,band1,band1,False,0.0,0.0,0.0,-591.53,-1380.24,-5154.73,1620.04,0.0
grp-a001-01-000000060843408,S7FE_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,,13871,66600,25053.61,32579.0,28038.44,202.354,False,161,97,band1,band1,False,0.0,0.0,0.0,-967.06,-1416.48,-3440.02,-1701.83,0.0
grp-a001-02-000000055116686,벌크6,● 11. 벌크,SHOPPING,,348639,545300,-29936.49,32645.82,28232.04,112.185,False,291,179,band3,band2,False,0.0,0.0,0.0,-21230.05,-12908.4,5836.93,-34280.79,0.0
