adgroup_id,campaign_type,cost,conv_amt,bep_g,product_count,ad_profit_account,ad_profit_prod,band_account,band_prod,diverges
grp-a001-01-000000040284151,WEB_SITE,27920,85500,,,22050.78,,band1,not_judged_no_bep,False
grp-a001-01-000000042724551,WEB_SITE,35360,79500,,,11104.06,,band1,not_judged_no_bep,False
grp-a001-01-000000042969517,WEB_SITE,131940,165900,,,-34979.16,,band3,not_judged_no_bep,False
grp-a001-01-000000042969832,WEB_SITE,34664,0,,,-34664.0,,band3,not_judged_no_bep,False
grp-a001-01-000000043502507,WEB_SITE,203170,407780,,,35158.46,,band2,not_judged_no_bep,False
grp-a001-01-000000043935093,WEB_SITE,42250,298200,,,132034.04,,band1,not_judged_no_bep,False
grp-a001-01-000000044377702,WEB_SITE,10820,15900,,,-1527.19,,band3,not_judged_no_bep,False
grp-a001-01-000000044378320,WEB_SITE,6720,15900,,,2572.81,,band1,not_judged_no_bep,False
grp-a001-01-000000044807690,WEB_SITE,1293400,2960120,,,436652.6,,band1,not_judged_no_bep,False
grp-a001-01-000000044807691,WEB_SITE,60600,190000,,,50446.17,,band1,not_judged_no_bep,False
grp-a001-01-000000044808405,WEB_SITE,202950,822800,,,277938.37,,band1,not_judged_no_bep,False
grp-a001-01-000000044808498,WEB_SITE,186663,500100,,,105622.21,,band1,not_judged_no_bep,False
grp-a001-01-000000044808499,WEB_SITE,49740,113300,,,16478.59,,band1,not_judged_no_bep,False
grp-a001-01-000000044808500,WEB_SITE,23860,111300,,,41189.68,,band1,not_judged_no_bep,False
grp-a001-01-000000045692018,WEB_SITE,28670,132120,,,48548.0,,band1,not_judged_no_bep,False
grp-a001-01-000000045694026,WEB_SITE,10980,19800,,,592.18,,band2,not_judged_no_bep,False
grp-a001-01-000000045800955,WEB_SITE,514680,2101990,,,713835.49,,band1,not_judged_no_bep,False
grp-a001-01-000000045802263,WEB_SITE,160100,459000,,,108164.17,,band1,not_judged_no_bep,False
grp-a001-01-000000045920162,WEB_SITE,135660,545410,,,183106.8,,band1,not_judged_no_bep,False
grp-a001-01-000000046127917,WEB_SITE,66020,79500,,,-19555.94,,band3,not_judged_no_bep,False
grp-a001-01-000000046132066,WEB_SITE,15749,47700,,,12129.43,,band1,not_judged_no_bep,False
grp-a001-01-000000046416698,WEB_SITE,34301,111000,,,30573.34,,band1,not_judged_no_bep,False
grp-a001-01-000000046416699,WEB_SITE,179552,291800,,,-9008.46,,band3,not_judged_no_bep,False
grp-a001-01-000000046416701,WEB_SITE,69647,92120,,,-15807.14,,band3,not_judged_no_bep,False
grp-a001-01-000000046416702,WEB_SITE,31243,75100,,,12649.46,,band1,not_judged_no_bep,False
grp-a001-01-000000046436514,WEB_SITE,3720,44310,,,22177.14,,band1,not_judged_no_bep,False
grp-a001-01-000000046475854,WEB_SITE,135600,461420,,,134078.55,,band1,not_judged_no_bep,False
grp-a001-01-000000046477597,WEB_SITE,29350,95400,,,26406.87,,band1,not_judged_no_bep,False
grp-a001-01-000000046478478,WEB_SITE,7040,15900,,,2252.81,,band1,not_judged_no_bep,False
grp-a001-01-000000046480952,WEB_SITE,4900,31800,,,13685.62,,band1,not_judged_no_bep,False
