adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000060612109,S10E_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,28729,False
grp-a001-01-000000060612110,S10플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,28675,False
grp-a001-01-000000060612113,A73_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_a:A73,,,,,,unresolved,True,4792,False
grp-a001-01-000000060612114,S10_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,74431,False
grp-a001-01-000000060612115,S8_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,21669,False
grp-a001-01-000000060612840,S9플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,15738,False
grp-a001-01-000000060612841,S105G_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,30386,False
grp-a001-01-000000060612842,S8플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,10454,False
grp-a001-01-000000060612843,S9_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,29537,False
grp-a001-01-000000060612964,노트20_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트20,,,,,,unresolved,True,158239,False
grp-a001-01-000000060617381,노트20울트라_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트20울트라,,,,,,unresolved,True,87125,False
grp-a001-01-000000060763483,S21_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,74599,False
grp-a001-01-000000060763875,노트20_사생활보호,○ 갤럭시 파워링크,WEB_SITE,note:노트20,,,,,,unresolved,True,97890,False
grp-a001-01-000000060763877,S20_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,34842,False
grp-a001-01-000000060764895,아이폰14_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,24442,False
grp-a001-01-000000060765090,S20플러스_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,23841,False
grp-a001-01-000000060765091,S21플러스_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,54430,False
