band,ctype,blk,pc,mob,cost,imp,clk,bcost
band1,WEB_SITE,7,1,1,0,0,0,24214.0
band3,WEB_SITE,7,1,1,0,0,0,82573.0
band3,WEB_SITE,7,1,1,0,0,0,206003.0
band3,WEB_SITE,7,1,1,0,0,0,24442.0
band1,WEB_SITE,7,1,1,0,0,0,206111.0
band1,WEB_SITE,7,1,1,0,0,0,58360.0
band3,WEB_SITE,7,1,1,0,0,0,65172.0
band1,WEB_SITE,7,1,1,0,0,0,204552.0
band3,WEB_SITE,7,1,1,0,0,0,206101.0
band1,WEB_SITE,7,1,1,0,0,0,105506.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,8098.0
band1,WEB_SITE,7,1,1,0,0,0,36989.0
band1,WEB_SITE,7,1,1,0,0,0,9532.0
band1,WEB_SITE,7,1,1,0,0,0,15336.0
band1,WEB_SITE,7,1,1,0,0,0,43401.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,4578.0
band1,WEB_SITE,7,1,1,0,0,0,104719.0
band3,WEB_SITE,7,1,1,0,0,0,51586.0
band1,WEB_SITE,7,1,1,0,0,0,26238.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,5870.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,980.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,9825.0
band3,WEB_SITE,7,1,1,0,0,0,38505.0
band3,WEB_SITE,7,1,1,0,0,0,83147.0
band3,WEB_SITE,7,1,1,0,0,0,43125.0
band1,WEB_SITE,6,1,0,0,0,0,289652.0
band3,WEB_SITE,6,1,1,0,0,0,426549.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,1677.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,13305.0
band3,WEB_SITE,6,1,1,0,0,0,33411.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,160.0
band1,WEB_SITE,6,1,1,0,0,0,2850.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,6363.0
band3,WEB_SITE,6,1,1,0,0,0,277362.0
band3,WEB_SITE,6,1,1,0,0,0,70129.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3685.0
band3,WEB_SITE,6,1,1,0,0,0,279630.0
band3,WEB_SITE,6,1,1,0,0,0,73263.0
band3,WEB_SITE,6,1,1,0,0,0,74566.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,6555.0
band3,WEB_SITE,6,1,1,0,0,0,30246.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,530.0
band1,WEB_SITE,6,1,1,0,0,0,31198.0
band3,WEB_SITE,6,1,1,0,0,0,32169.0
band3,WEB_SITE,6,1,1,0,0,0,25951.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,7049.0
band3,WEB_SITE,6,1,1,0,0,0,73690.0
band1,WEB_SITE,6,1,1,0,0,0,19347.0
band3,WEB_SITE,6,1,1,0,0,0,811579.0
band1,WEB_SITE,6,1,1,0,0,0,29556.0
band3,WEB_SITE,6,1,1,0,0,0,26817.0
band1,WEB_SITE,6,1,1,0,0,0,22284.0
band3,WEB_SITE,6,1,1,0,0,0,127606.0
band3,WEB_SITE,6,1,1,0,0,0,20183.0
band3,WEB_SITE,6,1,1,0,0,0,23507.0
band1,WEB_SITE,6,1,1,0,0,0,97772.0
band1,WEB_SITE,6,1,1,0,0,0,86198.0
band1,WEB_SITE,6,1,1,0,0,0,69446.0
band1,WEB_SITE,6,1,1,0,0,0,51432.0
band1,WEB_SITE,6,1,1,0,0,0,68500.0
band1,WEB_SITE,6,1,1,0,0,0,48501.0
band2,WEB_SITE,6,1,1,0,0,0,34635.0
band1,WEB_SITE,6,1,1,0,0,0,58174.0
band1,WEB_SITE,6,1,1,0,0,0,33348.0
band1,WEB_SITE,6,1,1,0,0,0,93732.0
band1,WEB_SITE,6,1,1,0,0,0,85302.0
band2,WEB_SITE,6,1,1,0,0,0,39775.0
band2,WEB_SITE,6,1,1,0,0,0,159535.0
band1,WEB_SITE,6,1,1,0,0,0,80381.0
band1,WEB_SITE,6,1,1,0,0,0,150211.0
band1,WEB_SITE,6,1,1,0,0,0,167664.0
band1,WEB_SITE,6,1,1,0,0,0,252951.0
band3,WEB_SITE,6,1,1,0,0,0,273724.0
band3,WEB_SITE,6,1,1,0,0,0,294146.0
band3,WEB_SITE,6,1,1,0,0,0,52889.0
band3,WEB_SITE,6,1,1,0,0,0,61445.0
band3,WEB_SITE,6,1,1,0,0,0,10382.0
band3,WEB_SITE,6,1,1,0,0,0,61638.0
band3,WEB_SITE,6,1,1,0,0,0,24458.0
band3,WEB_SITE,6,1,1,0,0,0,27638.0
band2,WEB_SITE,6,1,1,0,0,0,8812.0
band1,WEB_SITE,6,1,1,0,0,0,5100.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,7423.0
band3,WEB_SITE,6,1,1,0,0,0,13051.0
band1,WEB_SITE,6,1,1,0,0,0,10678.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,10932.0
band3,WEB_SITE,6,1,1,0,0,0,33337.0
band3,WEB_SITE,6,1,1,0,0,0,45198.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,12938.0
band1,WEB_SITE,6,1,1,0,0,0,10955.0
band1,WEB_SITE,6,1,1,0,0,0,13871.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,16866.0
band1,WEB_SITE,6,1,1,0,0,0,30315.0
band3,WEB_SITE,6,1,1,0,0,0,22873.0
band1,WEB_SITE,6,1,1,0,0,0,5963.0
band1,WEB_SITE,6,1,1,0,0,0,619.0
band3,WEB_SITE,6,1,1,0,0,0,33303.0
band3,WEB_SITE,6,1,1,0,0,0,45002.0
band1,WEB_SITE,6,1,1,0,0,0,4102.0
band1,WEB_SITE,6,1,1,0,0,0,23493.0
band2,WEB_SITE,6,1,1,0,0,0,39238.0
band3,WEB_SITE,6,1,1,0,0,0,48039.0
band3,WEB_SITE,6,1,1,0,0,0,204568.0
band3,WEB_SITE,6,1,1,0,0,0,63058.0
band1,WEB_SITE,6,1,1,0,0,0,125728.0
band1,WEB_SITE,6,1,1,0,0,0,2847.0
band3,WEB_SITE,6,1,1,0,0,0,46638.0
band2,WEB_SITE,6,1,1,0,0,0,71605.0
band3,WEB_SITE,6,1,1,0,0,0,127992.0
band3,WEB_SITE,6,1,1,0,0,0,11858.0
band3,WEB_SITE,6,1,1,0,0,0,103563.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,6722.0
band2,WEB_SITE,6,1,1,0,0,0,7425.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3978.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,4368.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,7560.0
