발주일,발주번호,상품번호,상품명,발송수량,입고수량,미입고수량,매입단가,미입고금액,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급
2026-06-12,134000991,48562249,"[10매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 우드용, 1세트, 우드용 10매 88*30mm 단일색상",1,0,1,9000,9000,47478372,462590765453;462590766606,2026-06-16 18:24,2026-06-17 12:37,2026-06-18 00:13,집하+도착+하차
2026-06-11,133930520,55013234,"[전기종]오하이 도어락 지문방지 사생활보호 범죄예방 문캅스필름 2매+간편부착, 1세트, 지문방지필름 단일상품",1,0,1,8600,8600,47479045,462590820764,2026-06-16 18:24,2026-06-17 11:12,2026-06-17 16:18,집하+도착+하차
2026-05-29,132855408,12424362,"오하이 풀커버 지문방지 무광택 액정보호필름 3매입, 갤럭시 노트20 울트라",1,0,1,8200,8200,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2025-09-12,113247676,57316041,"오하이 일미리 케이스 1mm 변색 없는 PC 하드 케이스, 아이폰 15플러스",1,0,1,8000,8000,39404080,460337727916;460337727920;460337727931;460337727942;460337727953;460337727964;460337727975,2025-09-16 18:40,2025-09-18 09:10,2025-09-18 09:20,집하+도착+하차
2026-02-11,124513934,69517682,오하이 히든범퍼 하이브리드 소다 휴대폰 케이스 투명 Galaxy S26 Plus,10,9,1,8000,8000,43804985,461634289126,2026-02-13 18:45,2026-02-14 08:25,2026-02-14 10:33,집하+도착+하차
2026-02-05,124147620,11373209,"오하이 풀커버 지문방지 무광택 액정보호필름 2매입, 갤럭시 S20플러스",1,0,1,6960,6960,43623477,461561623666;461561629443,2026-02-06 18:58,2026-02-13 10:59,2026-02-13 14:24,집하+도착+하차
2026-03-27,127711266,11222408,"오하이 풀커버 지문방지 무광택 액정보호필름 2매입, 갤럭시S10 5G",1,0,1,6960,6960,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2026-05-29,132855408,11786547,"오하이 풀커버 지문방지 무광택 액정보호필름 2매입, 갤럭시 노트9",1,0,1,6960,6960,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2025-09-16,113466843,50427106,"오하이 사생활보호 프라이버시 TPU 지문인식 휴대폰 액정보호필름 2매+간편부착 툴, 애플 아이폰 16, 1세트",1,0,1,6705,6705,39552942,460380858000;460380858011;460380858022,2025-09-19 18:09,2025-09-25 11:45,2025-09-25 10:47,집하+도착+하차
2026-05-29,132855408,55701378,"오하이 사생활보호 프라이버시 TPU 지문인식 휴대폰 액정보호필름 2매+간편부착 툴, 삼성 갤럭시 S25, 1세트",1,0,1,6705,6705,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2026-07-09,136435977,41269801,"오하이 사생활보호 프라이버시 TPU 지문인식 휴대폰 액정보호필름 2매+간편부착 툴, 삼성 갤럭시 S23울트라, 1세트",1,0,1,6705,6705,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-06-12,134057698,15328210,"오하이 갤럭시 저반사 지문방지 필름 2매입, 갤럭시S20FE",2,1,1,5900,5900,47534560,462608981236,2026-06-16 18:24,2026-06-17 12:45,2026-06-19 10:45,집하+도착+하차
2026-05-29,132855408,65568322,오하이 갤럭시워치 캐쥬얼 실리콘 스트랩 밴드 20mm 다크그린 갤럭시워치 1개,1,0,1,5655,5655,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
