adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-01-000000061924110,WEB_SITE,6.8933,13,4660,12800,2821.01,217.0,band1,≥4
grp-a001-01-000000061924111,WEB_SITE,10.4223,13,4430,0,-4430.0,-340.77,band3,≥4
grp-a001-01-000000061924112,WEB_SITE,7.1459,12,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000061924113,WEB_SITE,3.5815,13,4690,0,-4690.0,-360.77,band3,"[2.5,4)"
grp-a001-01-000000061924114,WEB_SITE,3.71,18,11320,0,-11320.0,-628.89,band3,"[2.5,4)"
grp-a001-01-000000061924115,WEB_SITE,5.9998,19,4650,0,-4650.0,-244.74,band3,≥4
grp-a001-01-000000061924116,WEB_SITE,4.5823,18,8626,0,-8626.0,-479.22,band3,≥4
grp-a001-01-000000061924149,WEB_SITE,6.875,2,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000061924150,WEB_SITE,3.1667,2,0,0,0.0,0.0,cost0_excluded,"[2.5,4)"
grp-a001-01-000000061924151,WEB_SITE,9.375,1,385,0,-385.0,-385.0,band3,≥4
grp-a001-01-000000061924152,WEB_SITE,3.0427,13,50520,41700,-26148.29,-2011.41,band3,"[2.5,4)"
grp-a001-01-000000061924153,WEB_SITE,4.3646,14,15010,0,-15010.0,-1072.14,band3,≥4
grp-a001-01-000000061924154,WEB_SITE,3.8166,8,5490,0,-5490.0,-686.25,band3,"[2.5,4)"
grp-a001-01-000000061924155,WEB_SITE,3.9839,18,37160,80100,9654.73,536.37,band1,"[2.5,4)"
grp-a001-01-000000061924156,WEB_SITE,3.3261,14,39162,55500,-6724.83,-480.34,band3,"[2.5,4)"
grp-a001-01-000000061924157,WEB_SITE,4.14,18,11820,0,-11820.0,-656.67,band3,≥4
grp-a001-01-000000061924158,WEB_SITE,4.2682,13,61490,53200,-30397.07,-2338.24,band3,≥4
grp-a001-01-000000061924189,WEB_SITE,5.8538,14,12470,41200,11609.49,829.25,band1,≥4
grp-a001-01-000000061924190,WEB_SITE,4.6173,14,12550,0,-12550.0,-896.43,band3,≥4
grp-a001-01-000000061924191,WEB_SITE,4.3013,18,15080,0,-15080.0,-837.78,band3,≥4
grp-a001-01-000000061924192,WEB_SITE,4.1273,18,56754,12900,-49214.55,-2734.14,band3,≥4
grp-a001-01-000000061924193,WEB_SITE,3.9558,17,7660,0,-7660.0,-450.59,band3,"[2.5,4)"
grp-a001-01-000000061924194,WEB_SITE,3.6667,1,0,0,0.0,0.0,cost0_excluded,"[2.5,4)"
grp-a001-01-000000061924195,WEB_SITE,13.0,1,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000062965454,WEB_SITE,2.0217,138,1361255,2625000,172935.53,1253.16,band2,<2.5
grp-a001-01-000000062965457,WEB_SITE,5.1737,138,1405838,3264100,501876.79,3636.79,band1,≥4
grp-a001-01-000000062965459,WEB_SITE,4.2607,138,299946,760200,144355.58,1046.05,band1,≥4
grp-a001-01-000000067675781,WEB_SITE,2.8234,76,811579,281600,-646996.88,-8513.12,band3,"[2.5,4)"
grp-a001-01-000000070094275,WEB_SITE,5.0676,9,40718,0,-40718.0,-4524.22,band3,≥4
grp-a001-01-000000070102294,WEB_SITE,7.3478,1,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000070109481,WEB_SITE,3.8431,9,67142,0,-67142.0,-7460.22,band3,"[2.5,4)"
grp-a001-01-000000070110695,WEB_SITE,3.6318,9,62560,0,-62560.0,-6951.11,band3,"[2.5,4)"
grp-a001-01-000000070110703,WEB_SITE,1.9322,8,4388,0,-4388.0,-548.5,band3,<2.5
grp-a001-01-000000070111139,WEB_SITE,5.5938,9,14993,0,-14993.0,-1665.89,band3,≥4
grp-a001-01-000000070111142,WEB_SITE,2.0387,8,1721,0,-1721.0,-215.12,band3,<2.5
grp-a001-01-000000070136001,WEB_SITE,1.9474,27,88012,242900,53951.76,1998.21,band1,<2.5
grp-a001-01-000000070512941,WEB_SITE,2.6117,18,380783,720820,40502.8,2250.16,band2,"[2.5,4)"
grp-a001-01-000000070513016,WEB_SITE,2.46,17,101592,248000,43352.48,2550.15,band1,<2.5
grp-a001-01-000000070513065,WEB_SITE,2.7209,18,57689,94800,-2282.8,-126.82,band3,"[2.5,4)"
grp-a001-01-000000071340947,WEB_SITE,2.4927,4,19652,44500,6356.18,1589.05,band1,<2.5
grp-a001-01-000000071340962,WEB_SITE,3.5247,4,90779,13800,-82713.54,-20678.38,band3,"[2.5,4)"
grp-a001-01-000000071340970,WEB_SITE,2.1078,4,816,0,-816.0,-204.0,band3,<2.5
grp-a001-02-000000043610882,SHOPPING,4.9971,355,875831,1304430,-113452.27,-319.58,band3,≥4
grp-a001-02-000000043610925,SHOPPING,5.0104,355,601543,952480,-44862.7,-126.37,band3,≥4
grp-a001-02-000000043610930,SHOPPING,5.5477,355,1460976,2356760,-83559.28,-235.38,band3,≥4
grp-a001-02-000000043615764,SHOPPING,5.0786,352,167656,225120,-36083.82,-102.51,band3,≥4
grp-a001-02-000000043624035,SHOPPING,6.751,65,226800,434290,27022.33,415.73,band2,≥4
grp-a001-02-000000043624057,SHOPPING,7.2013,65,356630,631870,12668.66,194.9,band2,≥4
grp-a001-02-000000043624087,SHOPPING,6.6717,65,117630,474840,159891.92,2459.88,band1,≥4
